Cant_Comp		Comp_Res		Frec_Comp		Lug_Comp		Unid_Comp		Estrato
0.5	,	SI	,	Quincenal	,	Plaza_Mercado	,	Kg	,	1
	,	NO	,		,		,		,	1
6	,	SI	,	Quincenal	,	Plaza_Mercado	,	Kg	,	3
0.5	,	SI	,	Mensual	,	Supermercado	,	Kg	,	2
4	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	3
0.25	,	SI	,	Semanal	,	Plaza_Mercado	,	kg	,	1
2	,	SI	,	Mensual	,	Tienda_Barrio	,	Kg	,	3
2	,	SI	,	Semanal	,	Supermercado	,	kg	,	1
3	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
4	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
3	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
2	,	SI	,	Semanal	,	Plaza_Mercado	,	kg	,	3
1	,	SI	,	Diario	,	Supermercado	,	Kg	,	2
	,	NO	,		,		,		,	2
1	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	1
4	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	3
3	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
3	,	SI	,	Semanal	,	Supermercado	,	Kg	,	2
1	,	SI	,	Quincenal	,	Plaza_Mercado	,	Kg	,	2
4	,	SI	,	Semanal	,	Tienda_Barrio	,	Kg	,	1
1	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	1
2	,	SI	,	Semanal	,	Tienda_Barrio	,	Kg	,	2
0.5	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	3
0.5	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	1
2	,	SI	,	Semanal	,	Supermercado	,	Kg	,	2
1	,	SI	,	Diario	,	Plaza_Mercado	,	Kg	,	2
1	,	SI	,	Semanal	,	Brasil	,	Kg	,	3
2	,	SI	,	Semanal	,	Brasil	,	Kg	,	1
1	,	SI	,	Semanal	,	Brasil	,	Kg	,	2
1	,	SI	,	Quincenal	,	Brasil	,	Kg	,	2
2	,	SI	,	Semanal	,	Supermercado	,	Kg	,	2
3	,	SI	,	Quincenal	,	Supermercado	,	Kg	,	2
0.5	,	SI	,	Diario	,	Plaza_Mercado	,	Kg	,	1
1	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
	,	NO	,		,		,		,	2
2	,	SI	,	Quincenal	,	Plaza_Mercado	,	Kg	,	4
1	,	SI	,	Quincenal	,	Supermercado	,	Kg	,	1
3	,	SI	,	Quincenal	,	Brasil	,	Kg	,	3
1	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	1
2	,	SI	,	Semanal	,	Brasil	,	Kg	,	3
2	,	SI	,	Semanal	,	Supermercado	,	Kg	,	3
